FID,globalid,uniq_id,timestamp,editor,statename,statecode,capcity,source,geozone,SHAPE_Length,SHAPE_Area
1,c46ae452-d6b6-4618-b3f7-ed6015e978d7,1187,2018/12/13 00:00:00+00,abraham.oluseye,Cross River,CR,Calabar,eHA_Polio,SSZ,7.72476525423706,1.71457950000713
2,0e73256c-2793-44cc-ab1b-7289f145b866,1175,2018/12/13 00:00:00+00,abraham.oluseye,Fct,FC,Abuja,eHA_Polio,NCZ,3.58639457752996,0.626373440804164
3,7f0787e4-4518-4486-8bc5-51c5232df9d1,1190,2019/07/29 00:00:00+00,nuraddeen.isah,Ogun,OG,Abeokuta,eHA_Polio,SWZ,9.68148636716508,1.36947550426001
4,0edbae77-0091-40d9-afdf-7e249ed797fb,1191,2019/07/29 00:00:00+00,nuraddeen.isah,Oyo,OY,Ibandan,eHA_Polio,SWZ,8.66140060037113,2.27336691684742
5,143c5cd1-9f44-4935-ab8a-891e4c05451e,1177,2018/12/13 00:00:00+00,abraham.oluseye,Sokoto,SO,Sokoto,eHA_Polio,NWZ,11.5062251125575,2.58703822898963
6,580df05c-a031-4664-962b-b326bfb53c78,1178,2018/12/13 00:00:00+00,abraham.oluseye,Zamfara,ZA,Gusau,eHA_Polio,NWZ,10.7533175301608,2.84718546930242
7,16fa258c-be83-44c4-836e-d4768129a329,1179,2019/07/17 00:00:00+00,nuraddeen.isah,Lagos,LA,Lagos,eHA_Polio,SWZ,4.36071066611651,0.307616801086933
8,83fe39c7-8a62-4bb9-8cf7-8f2b58b5c276,1193,2018/12/13 00:00:00+00,abraham.oluseye,Akwa Ibom,AK,Uyo,eHA_Polio,SSZ,3.77053808475516,0.560026327467057
9,c92e2ed6-a32c-4b10-b084-1243d6a40178,1194,2018/12/13 00:00:00+00,abraham.oluseye,Bayelsa,BY,Yenagoa,eHA_Polio,SSZ,5.28706065109289,0.765384912573534
10,5281552e-e3cc-4aeb-a6ff-3f7a4ef3d464,1195,2018/12/13 00:00:00+00,abraham.oluseye,Ondo,ON,Akure,eHA_Polio,SWZ,7.63992988495059,1.23134737553834
11,99c8d1d1-4342-41f3-8e59-e293fb7b6acb,1196,2018/12/13 00:00:00+00,abraham.oluseye,Delta,DE,Asaba,eHA_Polio,SSZ,8.92836043992546,1.38472641916791
12,19af34c7-8f2e-4c9a-9ba1-267eadb2d249,1197,2018/12/13 00:00:00+00,abraham.oluseye,Rivers,RI,Port Harcourt,eHA_Polio,SSZ,7.40557263828412,0.828797281418541
13,59cd46fa-c2e6-400d-a674-d602265de53c,1182,2018/12/13 00:00:00+00,abraham.oluseye,Kwara,KW,Ilorin,eHA_Polio,NCZ,11.8365890777325,2.74646665166577
14,927798cb-2cb4-4913-8c7c-5cbfeee5fed1,1183,2018/12/13 00:00:00+00,abraham.oluseye,Kogi,KO,Lokoja,eHA_Polio,NCZ,10.2935303492709,2.36648360549564
15,349b514b-6ec6-4311-b8e8-c253a42347d1,1184,2018/12/13 00:00:00+00,abraham.oluseye,Benue,BE,Makurdi,eHA_Polio,NCZ,9.14629946380577,2.52899226086847
16,186a35e2-d392-4bf3-8bfd-132da2a2e0f1,1151,2018/12/13 00:00:00+00,abraham.oluseye,Borno,BR,Maiduguri,eHA_Polio,NEZ,14.790787738472,5.98757859193832
17,93a7428a-4268-4add-b11c-0b1eb0bbc7d6,1160,2018/12/13 00:00:00+00,abraham.oluseye,Katsina,KT,Katsina,eHA_Polio,NWZ,9.52470640045644,2.01466948138937
18,17379e56-2427-44bc-9778-9836eac9fcc4,1161,2018/12/13 00:00:00+00,abraham.oluseye,Plateau,PL,Jos,eHA_Polio,NCZ,8.58851935770674,2.14135125746091
19,8fda629d-9983-43d2-b5dc-559e03942bbd,1162,2018/12/13 00:00:00+00,abraham.oluseye,Edo,ED,Benin City,eHA_Polio,SSZ,7.89470790568698,1.59944853442849
20,2c75f9fd-00a2-4065-bd61-c861eb6052b4,1163,2018/12/13 00:00:00+00,abraham.oluseye,Jigawa,JI,Dutse,eHA_Polio,NWZ,12.7045094032426,1.94757422234489
21,80db4727-d196-4bd9-9b36-51f728d80de2,1165,2018/12/13 00:00:00+00,abraham.oluseye,Anambra,AN,Awka,eHA_Polio,SEZ,3.62459301113784,0.393536522344559
22,4f4bd140-a2c6-4b0d-a94b-44d2332cf512,1166,2018/12/13 00:00:00+00,abraham.oluseye,Kano,KN,Kano,eHA_Polio,NWZ,8.78168194918922,1.67778459467836
23,fef85acc-cc49-42cb-86ef-c24e93a1d746,1167,2018/12/13 00:00:00+00,abraham.oluseye,Nasarawa,NA,Lafia,eHA_Polio,NCZ,9.38318641496438,2.15611395718005
24,dd3a51f1-569f-4378-bc0e-2c9338cea694,1168,2018/12/13 00:00:00+00,abraham.oluseye,Kebbi,KB,Birnin Kebbi,eHA_Polio,NWZ,15.931655834155,3.0850711385344
25,d4bea7a2-3d76-4985-938c-61dd493be2cb,1169,2018/12/13 00:00:00+00,abraham.oluseye,Imo,IM,Owerri,WHO,SEZ,2.79430491236397,0.41638186067954
26,7f847a2d-2643-4825-91f6-629e58024fe8,1148,2018/12/13 00:00:00+00,abraham.oluseye,Gombe,GO,Gombe,eHA_Polio,NEZ,6.11262007165122,1.37364675623404
27,7d2a1c11-b5cb-45f3-b61e-7645aade9903,1149,2018/12/13 00:00:00+00,abraham.oluseye,Adamawa,AD,Yola,eHA_Polio,NEZ,12.1489915875901,3.28726710847168
28,c03f7766-4ea5-4072-8bb3-713bc72832a5,1150,2018/12/13 00:00:00+00,abraham.oluseye,Yobe,YO,Damaturu,eHA_Polio,NEZ,11.7926769014537,3.8020920958473
29,5a651043-340f-4235-9270-bdff3be5ecc3,1174,2018/12/13 00:00:00+00,abraham.oluseye,Abia,AB,Umuahia,WHO,SEZ,4.56608104004565,0.391390183703241
30,41307165-bb56-431a-9cab-026e3bee2480,1153,2018/12/13 00:00:00+00,abraham.oluseye,Ekiti,EK,Ado,eHA_Polio,SWZ,3.3371255166415,0.473886315313636
31,05fc3e53-ce0a-491d-9b37-2e9f1e3651fb,1156,2018/12/13 00:00:00+00,abraham.oluseye,Osun,OS,Oshogbo,eHA_Polio,SWZ,4.58010508491486,0.700000819494946
32,1f4ec129-23e3-45bb-b60d-de1b159bb5f6,1157,2018/12/13 00:00:00+00,abraham.oluseye,Bauchi,BA,Bauchi,eHA_Polio,NEZ,15.1173238229585,4.09996164349826
33,eec25567-4a6e-4752-81e3-04821eccc3fd,1158,2018/12/13 00:00:00+00,abraham.oluseye,Niger,NI,Minna,eHA_Polio,NCZ,18.8978584921494,5.85012665084601
34,aa13d807-45e2-4ba8-96ce-371126023935,1159,2018/12/13 00:00:00+00,abraham.oluseye,Kaduna,KD,Kaduna,eHA_Polio,NWZ,12.8623303731415,3.72021754917685
35,7d0f6cce-4fc4-4562-aed6-c1e297dcff20,1170,2018/12/13 00:00:00+00,abraham.oluseye,Enugu,EN,Enugu,WHO,SEZ,4.380751986083,0.623460704298604
36,f34158b3-9a70-40f3-9d64-e97853a3b1fb,1171,2018/12/13 00:00:00+00,abraham.oluseye,Taraba,TA,Jalingo,eHA_Polio,NEZ,13.422611410464,4.82255353606878
37,7f949ae4-887f-4fe0-99a4-3d09aaa27d0e,1173,2018/12/13 00:00:00+00,abraham.oluseye,Ebonyi,EB,Abakaliki,eHA_Polio,SEZ,4.42480579477101,0.530098699077946
